      No    Time           Source                   Destination           Protocol Length   Info
     57 30.073627748   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     58 30.140459115   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=18/4608, ttl=64 (reply in 59)
     59 30.140587760   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=18/4608, ttl=64 (request in 58)
     60 31.164455824   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=19/4864, ttl=64 (reply in 61)
     61 31.164615268   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=19/4864, ttl=64 (request in 60)
     62 32.078264117   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     63 32.188457212   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=20/5120, ttl=64 (reply in 64)
     64 32.188616237   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=20/5120, ttl=64 (request in 63)
     65 33.212457971   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=21/5376, ttl=64 (reply in 66)
     66 33.212588851   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=21/5376, ttl=64 (request in 65)
     67 33.479103966   Cisco_d4:1c:04        CDP/VTP/DTP/PAgP/UDLD CDP      432    Device ID: tux-sw4  Port ID: FastEthernet0/2  
     68 34.083134729   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     69 34.236471511   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=22/5632, ttl=64 (reply in 70)
     70 34.236604347   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=22/5632, ttl=64 (request in 69)
     71 35.260460398   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=23/5888, ttl=64 (reply in 72)
     72 35.260589532   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=23/5888, ttl=64 (request in 71)
     73 35.668492306   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
     74 35.671644113   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=1/256, ttl=64 (reply in 75)
     75 35.671780789   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=1/256, ttl=64 (request in 74)
     76 36.088124278   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     77 36.260455078   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=24/6144, ttl=64 (reply in 78)
     78 36.260584631   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=24/6144, ttl=64 (request in 77)
     79 36.671743552   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=2/512, ttl=64 (reply in 80)
     80 36.671873035   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=2/512, ttl=64 (request in 79)
     81 37.276476485   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=25/6400, ttl=64 (reply in 82)
     82 37.276641028   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=25/6400, ttl=64 (request in 81)
     83 37.692468609   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=3/768, ttl=64 (reply in 84)
     84 37.692603121   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=3/768, ttl=64 (request in 83)
     85 38.093002642   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     86 38.300458039   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=26/6656, ttl=64 (reply in 87)
     87 38.300583890   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=26/6656, ttl=64 (request in 86)
     88 38.716487387   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=4/1024, ttl=64 (reply in 89)
     89 38.716624553   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=4/1024, ttl=64 (request in 88)
     90 39.324457262   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=27/6912, ttl=64 (reply in 91)
     91 39.324587513   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=27/6912, ttl=64 (request in 90)
     92 39.740468522   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=5/1280, ttl=64 (reply in 93)
     93 39.740601148   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=5/1280, ttl=64 (request in 92)
     94 40.098445872   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     95 40.348464237   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=28/7168, ttl=64 (reply in 96)
     96 40.348597142   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=28/7168, ttl=64 (request in 95)
     97 40.768456583   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=6/1536, ttl=64 (reply in 98)
     98 40.768589209   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=6/1536, ttl=64 (request in 97)
