      No    Time           Source                   Destination           Protocol Length   Info
     61 6.193986195    10.0.2.4              104.17.113.188        UDP      74     42515 → 33434 Len=32
     62 6.194156406    10.0.2.4              104.17.113.188        UDP      74     58126 → 33435 Len=32
     63 6.194276917    10.0.2.4              104.17.113.188        UDP      74     60490 → 33436 Len=32
     64 6.194414252    10.0.2.4              104.17.113.188        UDP      74     35114 → 33437 Len=32
     65 6.194687672    10.0.2.4              104.17.113.188        UDP      74     48524 → 33438 Len=32
     66 6.194719154    10.0.2.1              10.0.2.4              ICMP     70     Time-to-live exceeded (Time to live exceeded in transit)
     67 6.194719931    10.0.2.1              10.0.2.4              ICMP     70     Time-to-live exceeded (Time to live exceeded in transit)
     68 6.194720062    10.0.2.1              10.0.2.4              ICMP     70     Time-to-live exceeded (Time to live exceeded in transit)
     69 6.194804282    10.0.2.4              104.17.113.188        UDP      74     45609 → 33439 Len=32
     70 6.194896198    10.0.2.4              104.17.113.188        UDP      74     51156 → 33440 Len=32
     71 6.195242793    10.0.2.4              104.17.113.188        UDP      74     39263 → 33441 Len=32
     72 6.195505966    10.0.2.4              104.17.113.188        UDP      74     58408 → 33442 Len=32
     73 6.195643507    10.0.2.4              104.17.113.188        UDP      74     34591 → 33443 Len=32
     74 6.195756741    10.0.2.4              104.17.113.188        UDP      74     56086 → 33444 Len=32
     75 6.195876444    10.0.2.4              104.17.113.188        UDP      74     48099 → 33445 Len=32
     76 6.195987425    10.0.2.4              104.17.113.188        UDP      74     38795 → 33446 Len=32
     77 6.196133771    10.0.2.4              104.17.113.188        UDP      74     35739 → 33447 Len=32
     78 6.196261353    10.0.2.4              104.17.113.188        UDP      74     49589 → 33448 Len=32
     79 6.196382501    10.0.2.4              104.17.113.188        UDP      74     34379 → 33449 Len=32
     80 6.196917606    10.0.2.4              104.17.113.188        UDP      74     35603 → 33450 Len=32
     81 6.197084710    10.0.2.4              104.17.113.188        UDP      74     40313 → 33451 Len=32
     82 6.197228123    10.0.2.4              104.17.113.188        UDP      74     45260 → 33452 Len=32
     83 6.194719931    10.0.2.1              10.0.2.4              ICMP     72     Time-to-live exceeded (Time to live exceeded in transit)
     84 6.194720062    10.0.2.1              10.0.2.4              ICMP     72     Time-to-live exceeded (Time to live exceeded in transit)
     85 6.194804282    10.0.2.4              104.17.113.188        UDP      76     45609 → 33439 Len=32
     86 6.194896198    10.0.2.4              104.17.113.188        UDP      76     51156 → 33440 Len=32
     87 6.195242793    10.0.2.4              104.17.113.188        UDP      76     39263 → 33441 Len=32
     88 6.195505966    10.0.2.4              104.17.113.188        UDP      76     58408 → 33442 Len=32
     89 6.195643507    10.0.2.4              104.17.113.188        UDP      76     34591 → 33443 Len=32
     90 6.195756741    10.0.2.4              104.17.113.188        UDP      76     56086 → 33444 Len=32
     91 6.195876444    10.0.2.4              104.17.113.188        UDP      76     48099 → 33445 Len=32
     92 6.195987425    10.0.2.4              104.17.113.188        UDP      76     38795 → 33446 Len=32
     93 6.196133771    10.0.2.4              104.17.113.188        UDP      76     35739 → 33447 Len=32
     94 6.196261353    10.0.2.4              104.17.113.188        UDP      76     49589 → 33448 Len=32
     95 6.196382501    10.0.2.4              104.17.113.188        UDP      76     34379 → 33449 Len=32
     96 6.196917606    10.0.2.4              104.17.113.188        UDP      76     35603 → 33450 Len=32
     97 6.197084710    10.0.2.4              104.17.113.188        UDP      76     40313 → 33451 Len=32
     98 6.197228123    10.0.2.4              104.17.113.188        UDP      76     45260 → 33452 Len=32
     99 10.238959915   10.0.2.4              34.107.221.82         TCP      56     [TCP Dup ACK 1#2] 49540 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
    100 10.239302478   34.107.221.82         10.0.2.4              TCP      62     [TCP Dup ACK 2#2] [TCP ACKed unseen segment] 80 → 49540 [ACK] Seq=1 Ack=2 Win=32472 Len=0
    101 10.238959915   10.0.2.4              34.107.221.82         TCP      54     [TCP Dup ACK 1#3] 49540 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
    102 10.239302478   34.107.221.82         10.0.2.4              TCP      60     [TCP Dup ACK 2#3] [TCP ACKed unseen segment] 80 → 49540 [ACK] Seq=1 Ack=2 Win=32472 Len=0
    103 10.495384232   10.0.2.4              34.107.221.82         TCP      54     [TCP Dup ACK 5#2] 49542 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
    104 10.495686849   34.107.221.82         10.0.2.4              TCP      60     [TCP Dup ACK 6#2] [TCP ACKed unseen segment] 80 → 49542 [ACK] Seq=1 Ack=2 Win=32467 Len=0
    105 10.495384232   10.0.2.4              34.107.221.82         TCP      56     [TCP Dup ACK 5#3] 49542 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
    106 10.495686849   34.107.221.82         10.0.2.4              TCP      62     [TCP Dup ACK 6#3] [TCP ACKed unseen segment] 80 → 49542 [ACK] Seq=1 Ack=2 Win=32467 Len=0
